모델명,제조사,유종,배기량,변속형식,복합연비,등급,배출량(CO2),자동차유형
G80 3.5T-GDI 2WD 20인치 (SP),현대,휘발유,3470,자동8,8.9,5등급,193,일반형
G80 3.5T-GDI 2WD 20인치 (22MY),현대,휘발유,3470,자동8,9,5등급,190,일반형
G80 2.5T-GDI AWD 20인치 (SP),현대,휘발유,2497,자동8,9.7,4등급,176,일반형
G80 2.5T-GDI AWD 20인치 (22MY),현대,휘발유,2497,자동8,9.7,4등급,175,일반형
G80 2.5T-GDI AWD 19인치 (SP),현대,휘발유,2497,자동8,9.8,4등급,174,일반형
G80 2.5T-GDI 2WD 20인치 (SP),현대,휘발유,2497,자동8,10.5,4등급,162,일반형
G80 2.5T-GDI 2WD 20인치 (22MY),현대,휘발유,2497,자동8,10.5,4등급,161,일반형
Huracan STO,람보르기니,휘발유,5204,자동7,6.3,5등급,279,일반형
마세라티 콰트로포르테 트로페오,마세라티,휘발유,3799,자동8,6,5등급,280,일반형
레인지로버 벨라 P400,랜드로버,휘발유,2996,자동8,8.9,5등급,190,다목적형
디펜더 110 D250,랜드로버,경유,2997,자동8,9.8,4등급,199,다목적형
EV6 항속형 4WD 19인치,기아,전기,,없음,5,고속(전기),0,다목적형
EV6 항속형 4WD 20인치,기아,전기,,없음,4.6,고속(전기),0,다목적형
EV6 항속형 RWD 19인치(빌트인캠미적용),기아,전기,,없음,5.4,고속(전기),0,다목적형
EV6 항속형 RWD 19인치(빌트인캠적용),기아,전기,,없음,5.3,고속(전기),0,다목적형
EV6 항속형 RWD 20인치,기아,전기,,없음,4.9,고속(전기),0,다목적형
EV6 기본형 RWD 19인치,기아,전기,,없음,5.6,고속(전기),0,다목적형
짚 그랜드 체로키 L,크라이슬러,휘발유,3604,자동8,7.7,5등급,220,다목적형
짚 그랜드 체로키 L,크라이슬러,휘발유,3604,자동8,7.7,5등급,220,다목적형
투싼 1.6T-GDI 하이브리드 6AT 19인치,현대,휘발유,1598,자동6,15.8,2등급,102,다목적형
투싼 1.6T-GDI 하이브리드 6AT 19인치 (빌트인캠),현대,휘발유,1598,자동6,15.3,2등급,105,다목적형
플러스2.0(카고),(주) 한신자동차,전기,,없음,2.5,고속(전기),0,일반형
마세라티 기블리 하이브리드,마세라티,휘발유,1995,자동8,8.9,5등급,186,일반형
K9 PE 3.8GDI 2WD 18인치(빌트인캠),기아,휘발유,3778,자동8,8.8,5등급,194,일반형
K9 PE 3.8GDI 2WD 19인치(빌트인캠),기아,휘발유,3778,자동8,8.6,5등급,198,일반형
K9 PE 3.8GDI AWD 18인치(빌트인캠),기아,휘발유,3778,자동8,8.2,5등급,210,일반형
K9 PE 3.8GDI AWD 19인치(빌트인캠),기아,휘발유,3778,자동8,8.2,5등급,209,일반형
K9 PE 3.8GDI 2WD 18인치,기아,휘발유,3778,자동8,9,5등급,192,일반형
K9 PE 3.8GDI 2WD 19인치,기아,휘발유,3778,자동8,8.8,5등급,196,일반형
K9 PE 3.8GDI AWD 18인치,기아,휘발유,3778,자동8,8.4,5등급,204,일반형
K9 PE 3.8GDI AWD 19인치,기아,휘발유,3778,자동8,8.3,5등급,207,일반형
K9 PE 3.3GDI 2WD 18인치(빌트인캠),기아,휘발유,3342,자동8,9,5등급,190,일반형
K9 PE 3.3GDI 2WD 19인치(빌트인캠),기아,휘발유,3342,자동8,8.6,5등급,200,일반형
K9 PE 3.3GDI AWD 18인치(빌트인캠),기아,휘발유,3342,자동8,8.4,5등급,205,일반형
K9 PE 3.3GDI AWD 19인치(빌트인캠),기아,휘발유,3342,자동8,8.3,5등급,208,일반형
K9 PE 3.3T-GDI 2WD 19인치(빌트인캠),기아,휘발유,3342,자동8,8.6,5등급,200,일반형
K9 PE 3.3T-GDI AWD 19인치(빌트인캠),기아,휘발유,3342,자동8,8,5등급,216,일반형
레인지로버 벨라 D300,랜드로버,경유,2997,자동8,11.6,3등급,167,다목적형
레인지로버 벨라 D200,랜드로버,경유,1998,자동8,12.8,3등급,149,다목적형
디스커버리 D250,랜드로버,경유,2997,자동8,10.8,4등급,180,다목적형
디펜더 90 D250,랜드로버,경유,2997,자동8,10.2,4등급,190,다목적형
디펜더 110 D300,랜드로버,경유,2997,자동8,9.8,4등급,199,다목적형
D2C(D2C13),쎄미시스코,전기,,없음,5.4,고속(전기),0,화물
디펜더 110 P300,랜드로버,휘발유,1997,자동8,7.6,5등급,223,다목적형
G80 2.5T-GDI 2WD 19인치 (SP),현대,휘발유,2497,자동8,10.6,4등급,159,일반형
아이오닉5 기본형 RWD 19인치,현대,전기,,없음,5.1,고속(전기),0,다목적형
캐딜락 Escalade(8인승),GM,휘발유,6162,자동10,6.5,5등급,269,다목적형
K9 PE 3.3GDI 2WD 18인치,기아,휘발유,3342,자동8,9.1,5등급,188,일반형
K9 PE 3.3GDI 2WD 19인치,기아,휘발유,3342,자동8,8.7,5등급,197,일반형
K9 PE 3.3GDI AWD 18인치,기아,휘발유,3342,자동8,8.5,5등급,203,일반형
K9 PE 3.3GDI AWD 19인치,기아,휘발유,3342,자동8,8.4,5등급,206,일반형
K9 PE 3.3T-GDI AWD 19인치,기아,휘발유,3342,자동8,8.1,5등급,213,일반형
Expedition 3.5 (8인승),포드,휘발유,3496,자동10,7.4,5등급,231,다목적형
Mercedes-AMG A35 4MATIC,벤츠,휘발유,1991,자동7,10.1,4등급,174,일반형
Mercedes-Maybach S580 4MATIC (4 Seater),벤츠,휘발유,3982,자동9,7.9,5등급,227,일반형
Lincoln Navigator 3.5 (8인승),포드,휘발유,3496,자동10,7.2,5등급,238,다목적형
K9 PE 3.3T-GDI 2WD 19인치,기아,휘발유,3342,자동8,8.7,5등급,199,일반형
스타리아 3.5LPI 3밴 8AT,현대,LPG,3470,자동8,7,5등급,189,밴형
스타리아 3.5LPI 3밴 8AT (빌트인캠),현대,LPG,3470,자동8,6.9,5등급,191,밴형
스타리아 3.5LPI 2WD 11인 17인치,현대,LPG,3470,자동8,6.7,5등급,199,일반형
스타리아 3.5LPI 2WD 11인 17인치 (빌트인캠),현대,LPG,3470,자동8,6.7,5등급,199,일반형
스타리아 3.5LPI 2WD 11인 18인치,현대,LPG,3470,자동8,6.7,5등급,199,일반형
스타리아 3.5LPI 2WD 9인 18인치,현대,LPG,3470,자동8,6.7,5등급,199,기타형
스타리아 3.5LPI 2WD 9인 18인치 (빌트인캠),현대,LPG,3470,자동8,6.6,5등급,202,기타형
스타리아 라운지 3.5LPI 2WD 9인 18인치,현대,LPG,3470,자동8,6.5,5등급,205,기타형
"Mercedes-Maybach S580 4MATIC	",벤츠,휘발유,3982,자동9,7.9,5등급,227,일반형
스타리아 3.5LPI 5밴 8AT,현대,LPG,3470,자동8,7,5등급,189,밴형
스타리아 3.5LPI 5밴 8AT (빌트인캠),현대,LPG,3470,자동8,6.9,5등급,191,밴형
스타리아 3.5LPI 2WD 11인 18인치 (빌트인캠),현대,LPG,3470,자동8,6.7,5등급,199,일반형
스타리아 3.5LPI 2WD 9인 17인치 (빌트인캠),기아,LPG,3470,자동8,6.7,5등급,199,기타형
스타리아 3.5LPI 2WD 9인 17인치,현대,LPG,3470,자동8,6.7,5등급,197,기타형
스타리아 라운지 3.5LPI 2WD 7인 18인치,현대,LPG,3470,자동8,6.7,5등급,199,기타형
스타리아 라운지 3.5LPI 2WD 7인 18인치 (빌트인캠),현대,LPG,3470,자동8,6.6,5등급,202,기타형
스타리아 라운지 3.5LPI 2WD 9인 18인치 (빌트인캠),현대,LPG,3470,자동8,6.5,5등급,205,기타형
Mercedes-Benz GLB250 4MATIC (5seater),벤츠,휘발유,1991,자동8,10.1,4등급,174,다목적형
Peugeot 5008 2.0 BlueHDi,PSA Automobiles,경유,1997,자동8,15,2등급,126,다목적형
디스커버리 D300,랜드로버,경유,2997,자동8,10.8,4등급,180,다목적형
C5 Aircross 1.5 BlueHDi_(19inch tire),PSA Automobiles,경유,1499,자동8,15.8,2등급,119,다목적형
Q8 45 TDI quattro ,아우디,경유,2967,자동8,10.2,4등급,190,다목적형
코란도 e-motion 2WD Heat Pump,쌍용,전기,,없음,4.9,고속(전기),0,기타형
코나 N 2.0T-GDI 2WD 19인치타이어,현대,휘발유,1998,자동8,10,4등급,170,다목적형
Mercedes-Benz GLB250 4MATIC,벤츠,휘발유,1991,자동8,10.1,4등급,174,다목적형
Mercedes-Benz GLB220,벤츠,휘발유,1991,자동8,10.6,4등급,164,다목적형
디스커버리 P360,랜드로버,휘발유,2996,자동8,7.5,5등급,227,다목적형
디펜더 110 P300,랜드로버,휘발유,1997,자동8,7.6,5등급,223,다목적형
e-tron Sportback 55 quattro,아우디,전기,,없음,3.1,고속(전기),0,다목적형
Bentayga V8,벤틀리,휘발유,3996,자동8,6.7,5등급,263,다목적형
G80 Electrified,현대,전기,,없음,4.3,고속(전기),0,일반형
Peugeot 508 1.5 BlueHDi_(19inch tire),PSA Automobiles,경유,1499,자동8,15.6,2등급,120,일반형
Peugeot 508 1.5 BlueHDi_(18inch tire),PSA Automobiles,경유,1499,자동8,17.2,1등급,108,일반형
DS7 Crossback 1.5 BlueHDi,PSA Automobiles,경유,1499,자동8,14.9,2등급,126,다목적형
Peugeot 3008 1.5 BlueHDi,PSA Automobiles,경유,1499,자동8,15.8,2등급,118,다목적형
"싼타페 1.6T-GDI 하이브리드 AWD 5인 19""타이어",현대,휘발유,1598,자동6,13.1,3등급,125,다목적형
"싼타페 1.6T-GDI 하이브리드 AWD 5인 17""타이어",현대,휘발유,1598,자동6,13.4,3등급,122,다목적형
"싼타페 1.6T-GDI 하이브리드 2WD 5인 19""타이어",현대,휘발유,1598,자동6,14.3,2등급,114,다목적형
"싼타페 1.6T-GDI 하이브리드 2WD 5인 17""(빌트인캠)",현대,휘발유,1598,자동6,15,2등급,108,다목적형
"싼타페 1.6T-GDI 하이브리드 2WD 5인 17""타이어",현대,휘발유,1598,자동6,15.3,2등급,106,다목적형
Mercedes-Benz GLS580 4MATIC,벤츠,휘발유,3982,자동9,6.6,5등급,277,다목적형
Mercedes-Maybach GLS600 (4 Seater),벤츠,휘발유,3982,자동9,6.6,5등급,277,다목적형
"싼타페 1.6T-GDI 하이브리드 AWD 7인 19""타이어",현대,휘발유,1598,자동6,13.1,3등급,125,다목적형
"싼타페 1.6T-GDI 하이브리드 AWD 7인 17""타이어",현대,휘발유,1598,자동6,13.4,3등급,122,다목적형
"싼타페 1.6T-GDI 하이브리드 2WD 7인 19""타이어",현대,휘발유,1598,자동6,14.3,2등급,114,다목적형
"싼타페 1.6T-GDI 하이브리드 2WD 7인 17""(빌트인캠)",현대,휘발유,1598,자동6,15,2등급,108,다목적형
"싼타페 1.6T-GDI 하이브리드 2WD 7인 17""타이어",현대,휘발유,1598,자동6,15.3,2등급,106,다목적형
아이오닉5 기본형 RWD 19인치,현대,전기,,없음,5.1,고속(전기),0,다목적형
아이오닉5 기본형 4WD 19인치,현대,전기,,없음,4.8,고속(전기),0,다목적형
MINI John Cooper Works Clubman ALL4(MY22),BMW,휘발유,1998,자동8,10,4등급,170,일반형
BMW M5 CS,BMW,휘발유,4395,자동8,7.7,5등급,224,일반형
BMW X2 M35i,BMW,휘발유,1998,자동8,9.8,4등급,172,다목적형
BMW M135i xDrive,BMW,휘발유,1998,자동8,10,4등급,170,일반형
BMW 120i,BMW,휘발유,1998,자동8,11,4등급,154,일반형
BMW 220i Gran Coupe,BMW,휘발유,1998,자동8,11.2,4등급,151,일반형
MINI Cooper S Convertible,MINI,휘발유,1998,자동7,12,3등급,140,일반형
MINI John Cooper Works Convertible,MINI,휘발유,1998,자동8,11.3,4등급,149,일반형
MINI Cooper Convertible,MINI,휘발유,1499,자동7,12.1,3등급,139,일반형
MINI John Cooper Works,MINI,휘발유,1998,자동8,11.4,4등급,148,일반형
MINI Cooper S,MINI,휘발유,1998,자동7,12.3,3등급,136,일반형
MINI Cooper,MINI,휘발유,1499,자동7,13.4,3등급,124,일반형
MINI Cooper S five-door,MINI,휘발유,1998,자동7,12.6,3등급,133,일반형
MINI Cooper five-door,MINI,휘발유,1499,자동7,12.4,3등급,135,일반형
쏘나타(DN8) 2.0CVVL_17인치타이어_22MY,현대,휘발유,1999,자동6,12.7,3등급,131,일반형
쏘나타(DN8) 2.0CVVL_18인치타이어_22MY,현대,휘발유,1999,자동6,12.5,3등급,133,일반형
Mercedes-Maybach GLS600,벤츠,휘발유,3982,자동9,6.6,5등급,277,다목적형
쏘나타(DN8) 1.6 T-GDI 19인치(빌트인캠)_22MY,현대,휘발유,1598,자동8,12.6,3등급,134,일반형
쏘나타(DN8) 1.6 T-GDI 19인치타이어_22MY,현대,휘발유,1598,자동8,12.8,3등급,131,일반형
쏘나타(DN8) 1.6 T-GDI 17인치타이어(빌트인캠)_22MY,현대,휘발유,1598,자동8,13.6,3등급,122,일반형
쏘나타(DN8) 1.6 T-GDI 17인치타이어_22MY,현대,휘발유,1598,자동8,13.8,2등급,120,일반형
쏘나타(DN8) 2.0LPI_18인치타이어_22MY,현대,LPG,1999,자동6,9.9,4등급,132,일반형
쏘나타(DN8) 하이브리드_17인치(빌트인캠)_22MY,현대,휘발유,1999,자동6,18.8,1등급,85,일반형
쏘나타(DN8) 2.0GDI 하이브리드_17인치타이어_22MY,현대,휘발유,1999,자동6,19.1,1등급,83,일반형
쏘나타(DN8) 하이브리드_18인치(빌트인캠)_22MY,현대,휘발유,1999,자동6,17.6,1등급,91,일반형
쏘나타(DN8) 2.0GDI 하이브리드_18인치타이어_22MY,현대,휘발유,1999,자동6,18,1등급,88,일반형
"Mercedes-Benz S580 4MATIC	",벤츠,휘발유,3982,자동9,7.9,5등급,227,일반형
아이오닉5 항속형 4WD 19인치,현대,전기,,없음,4.7,고속(전기),0,다목적형
아이오닉5 항속형 4WD 20인치,현대,전기,,없음,4.5,고속(전기),0,다목적형
Expedition 3.5,포드,휘발유,3496,자동10,7.4,5등급,231,다목적형
Model Y Standard Range,테슬라코리아 유한회사,전기,,없음,5.6,고속(전기),0,다목적형
스타리아 2.2디젤 5밴 6MT,현대,경유,2199,수동6,11.9,3등급,161,밴형
스타리아 2.2디젤 3밴 6MT,현대,경유,2199,수동6,12.3,3등급,156,밴형
스타리아 2.2디젤 5밴 8AT (빌트인캠),현대,경유,2199,자동8,11.1,4등급,174,밴형
스타리아 2.2디젤 5밴 8AT,현대,경유,2199,자동8,11.3,4등급,172,밴형
스타리아 2.2디젤 3밴 8AT (빌트인캠),현대,경유,2199,자동8,11.5,4등급,168,밴형
Lincoln Navigator 3.5,포드,휘발유,3496,자동10,7.2,5등급,238,다목적형
Bentayga V8,벤틀리,휘발유,3996,자동8,6.7,5등급,263,다목적형
"Mercedes-Benz GLE450 4MATIC (5 Seater)	",벤츠,휘발유,2999,자동9,8.3,5등급,220,다목적형
Mercedes-Benz GLE450 4MATIC,벤츠,휘발유,2999,자동9,8.3,5등급,220,다목적형
Mercedes-AMG GLE53 4MATIC+ Coupe,벤츠,휘발유,2999,자동9,8.3,5등급,220,다목적형
"Mercedes-AMG GT43 4MATIC+	",벤츠,휘발유,2999,자동9,8.6,5등급,212,일반형
스타리아 2.2디젤 3밴 8AT,현대,경유,2199,자동8,11.6,3등급,166,밴형
K3 1.6 T-GDI 5DR 7DCT PE (SUMMER TIRE),기아,휘발유,1591,자동7,11.9,3등급,141,일반형
K3 1.6 가솔린 CVT PE (16인치 타이어),기아,휘발유,1598,무단변속,14.4,2등급,114,일반형
K3 1.6 T-GDI 5DR 7DCT PE (ALL SEASON TIRE),기아,휘발유,1591,자동7,12.1,3등급,139,일반형
Model 3 Long Range,테슬라코리아 유한회사,전기,,없음,5.6,고속(전기),0,일반형
Mercedes-Benz GLA220,벤츠,휘발유,1991,자동8,11,4등급,158,다목적형
"Mercedes-AMG GLE53 4MATIC+	",벤츠,휘발유,2999,자동9,8.3,5등급,220,다목적형
"Mercedes-Benz A250 4MATIC	",벤츠,휘발유,1991,자동7,11.2,4등급,156,일반형
레인지로버 이보크 D165,랜드로버,경유,1998,자동9,12.5,3등급,153,다목적형
디스커버리 스포츠 D165,랜드로버,경유,1998,자동9,11.8,3등급,163,다목적형
타이칸 터보 (5인승),포르쉐,전기,,없음,2.9,고속(전기),0,일반형
다니고VAN,(주)대창모터스,전기,,없음,3.6,고속(전기),0,밴형
"Mercedes-AMG GLA45 4MATIC	",벤츠,휘발유,1991,자동8,8.6,5등급,205,다목적형
Mercedes-Benz S350 d,벤츠,경유,2925,자동9,12,3등급,161,일반형
"Mercedes-Benz CLA250 4MATIC	",벤츠,휘발유,1991,자동7,11.2,4등급,156,일반형
레인지로버 벨라 P250,랜드로버,휘발유,1997,자동8,8.6,5등급,197,다목적형
Touareg 3.0TDI,폭스바겐,경유,2967,자동8,10.8,4등급,180,다목적형
타이칸 터보,포르쉐,전기,,없음,2.9,고속(전기),0,일반형
"Mercedes-Benz A220	",벤츠,휘발유,1991,자동7,11.5,4등급,151,일반형
Peugeot 508SW 1.5 BlueHDi_(19inch tire),PSA Automobiles,경유,1499,자동8,15.6,2등급,120,일반형
Peugeot 508SW 1.5 BlueHDi_(18inch tire),PSA Automobiles,경유,1499,자동8,17.2,1등급,108,일반형
스타리아 2.2디젤 2WD 11인 17인치,현대,경유,2199,자동8,10.8,4등급,179,일반형
스타리아 2.2디젤 2WD 11인 18인치,현대,경유,2199,자동8,10.8,4등급,180,일반형
스타리아 2.2디젤 2WD 9인 17인치 (빌트인캠),현대,경유,2199,자동8,11,4등급,175,기타형
스타리아 2.2디젤 2WD 9인 18인치,현대,경유,2199,자동8,11,4등급,175,기타형
스타리아 라운지 2.2디젤 2WD 7인 18인치,현대,경유,2199,자동8,10.8,4등급,179,기타형
스타리아 라운지 2.2디젤 2WD 7인 18인치 (빌트인캠),현대,경유,2199,자동8,10.8,4등급,180,기타형
스타리아 2.2디젤 4WD 11인 17인치,현대,경유,2199,자동8,10.3,4등급,190,일반형
스타리아 2.2디젤 4WD 11인 17인치 (빌트인캠),현대,경유,2199,자동8,10.3,4등급,190,일반형
스타리아 2.2디젤 4WD 11인 18인치,현대,경유,2199,자동8,10.3,4등급,190,일반형
스타리아 2.2디젤 4WD 9인 17인치,현대,경유,2199,자동8,10.3,4등급,189,기타형
스타리아 2.2디젤 4WD 9인 17인치 (빌트인캠),현대,경유,2199,자동8,10.3,4등급,189,기타형
스타리아 2.2디젤 4WD 9인 18인치,현대,경유,2199,자동8,10.3,4등급,189,기타형
스타리아 2.2디젤 4WD 9인 18인치 (빌트인캠),현대,경유,2199,자동8,10.3,4등급,189,기타형
스타리아 라운지 2.2디젤 4WD 7인 18인치,현대,경유,2199,자동8,10.3,4등급,189,기타형
스타리아 라운지 2.2디젤 4WD 7인 18인치 (빌트인캠),현대,경유,2199,자동8,10.3,4등급,189,기타형
스타리아 라운지 2.2디젤 4WD 9인 18인치,현대,경유,2199,자동8,10.3,4등급,189,기타형
Peugeot 5008 1.5 BlueHDi,PSA Automobiles,경유,1499,자동8,14.9,2등급,126,다목적형
C3 Aircross 1.5 BlueHDi,PSA Automobiles,경유,1499,자동6,15.4,2등급,122,다목적형
C5 Aircross 1.5 BlueHDi_(18inch tire),PSA Automobiles,경유,1499,자동8,15.8,2등급,118,다목적형
스타리아 2.2디젤 2WD  6MT 11인 17인치,현대,경유,2199,수동6,11.8,3등급,163,일반형
스타리아 2.2디젤 2WD 11인 17인치 (빌트인캠),현대,경유,2199,자동8,10.8,4등급,179,일반형
스타리아 2.2디젤 2WD 11인 18인치 (빌트인캠),현대,경유,2199,자동8,10.8,4등급,180,일반형
스타리아 2.2디젤 2WD 9인 18인치 (빌트인캠),현대,경유,2199,자동8,11,4등급,175,기타형
스타리아 2.2디젤 2WD 9인 17인치,현대,경유,2199,자동8,11.3,4등급,171,기타형
스타리아 라운지 2.2디젤 2WD 9인 18인치,현대,경유,2199,자동8,10.8,4등급,179,기타형
스타리아 라운지 2.2디젤 2WD 9인 18인치 (빌트인캠),현대,경유,2199,자동8,10.8,4등급,180,기타형
스타리아 2.2디젤 4WD 11인 18인치 (빌트인캠),현대,경유,2199,자동8,10.3,4등급,190,일반형
스타리아 라운지 2.2디젤 4WD 9인 18인치 (빌트인캠),현대,경유,2199,자동8,10.3,4등급,189,기타형
볼보 XC60B5 FWD,볼보,휘발유,1969,자동8,10.4,4등급,162,다목적형
볼보 XC90B5 AWD,볼보,휘발유,1969,자동8,9.8,4등급,173,다목적형
볼보 S60B5,볼보,휘발유,1969,자동8,11.7,3등급,144,일반형
Peugeot 308 1.5 BlueHDi,PSA Automobiles,경유,1499,자동8,17.1,1등급,109,일반형
레인지로버 이보크 D200,랜드로버,경유,1998,자동9,12.5,3등급,153,다목적형
"Mercedes-Benz S400 d 4MATIC	",벤츠,경유,2925,자동9,11.4,4등급,170,일반형
"Mercedes-Benz G400 d	",벤츠,경유,2925,자동9,8.4,5등급,233,다목적형
볼보 V90CCB6 AWD,볼보,휘발유,1969,자동8,10.2,4등급,167,다목적형
볼보 S90B6 AWD,볼보,휘발유,1969,자동8,10.3,4등급,166,일반형
K8 3.5 GDI AWD 19인치,기아,휘발유,3470,자동8,9.3,5등급,183,일반형
K8 3.5 GDI AWD 18인치 (빌트인캠),기아,휘발유,3470,자동8,9.5,4등급,180,일반형
K8 3.5 GDI AWD 18인치 ,기아,휘발유,3470,자동8,9.7,4등급,175,일반형
볼보 XC60B6 AWD,볼보,휘발유,1969,자동8,9.3,5등급,183,다목적형
볼보 V90CCB5 AWD,볼보,휘발유,1969,자동8,10.5,4등급,161,다목적형
Q5 Sportback 45 TFSI quattro,아우디,휘발유,1984,자동7,10,4등급,171,다목적형
렉서스 LC500 Convertible,토요타,휘발유,4969,자동10,7.5,5등급,230,일반형
"XM3 1.6 (17"" tire) LRRC",르노삼성,휘발유,1598,무단변속,13.6,3등급,121,기타형
"XM3 1.3 (17"" tire) LRRC",르노삼성,휘발유,1332,자동7,13.8,2등급,119,기타형
페라리 Portofino M,페라리,휘발유,3855,자동8,7.6,5등급,231,일반형
볼보 XC90B6 AWD,볼보,휘발유,1969,자동8,9.2,5등급,186,다목적형
디스커버리 스포츠 D200,랜드로버,경유,1998,자동9,11.8,3등급,163,다목적형
K8 1.6TGDI 하이브리드 18인치 (빌트인캠),기아,휘발유,1598,자동6,16.8,1등급,96,일반형
